Date,Open,High,Low,Close,Adj Close,Volume
2015-12-15,548.000000,548.000000,516.599976,519.950012,470.067810,2697637
2015-12-16,522.549988,531.000000,520.099976,523.349976,473.141541,1399927
2015-12-17,525.500000,532.150024,520.599976,530.000000,479.153625,2067366
2015-12-18,525.700012,528.000000,521.500000,523.250000,473.051147,1534964
2015-12-21,519.400024,524.400024,514.049988,521.849976,471.785522,874232
2015-12-22,524.000000,526.799988,518.900024,519.549988,469.706177,666767
2015-12-23,525.000000,525.049988,516.599976,518.049988,468.350067,697224
2015-12-24,520.000000,521.750000,516.000000,516.950012,467.355621,453150
2015-12-28,516.049988,520.500000,512.400024,518.799988,469.028107,1083432
2015-12-29,520.950012,522.000000,518.000000,518.950012,469.163696,570433
2015-12-30,519.500000,528.000000,519.250000,525.150024,474.768890,1227498
2015-12-31,523.299988,526.000000,520.349976,521.650024,471.604767,421683
2016-01-01,524.900024,524.900024,518.500000,520.049988,470.158173,312042
2016-01-04,520.049988,521.299988,505.000000,516.400024,466.858368,2684305
2016-01-05,516.950012,523.299988,516.599976,521.900024,471.830750,1707124
2016-01-06,522.000000,527.000000,520.799988,525.099976,474.723663,1456740
2016-01-07,521.099976,522.450012,504.000000,510.799988,461.795563,2014798
2016-01-08,516.000000,526.250000,512.750000,522.150024,472.056763,1426135
2016-01-11,517.000000,517.000000,505.850006,507.299988,458.631378,1791903
2016-01-12,507.950012,509.299988,498.000000,507.399994,458.721771,1836753
2016-01-13,508.000000,512.250000,496.750000,504.450012,456.054810,1431164
2016-01-14,497.000000,516.000000,494.049988,514.000000,464.688599,2022474
2016-01-15,519.000000,529.950012,511.850006,520.549988,470.610229,1612782
2016-01-18,516.000000,526.950012,514.200012,517.400024,467.762482,1035936
2016-01-19,518.000000,521.599976,510.100006,512.500000,463.332520,978429
2016-01-20,507.250000,512.799988,503.600006,507.000000,458.360168,2002842
2016-01-21,508.000000,516.299988,506.549988,507.350006,458.676605,1873696
2016-01-22,513.000000,516.750000,503.700012,514.250000,464.914612,894565
2016-01-25,517.000000,523.750000,513.500000,514.549988,465.185883,689789
2016-01-27,514.000000,515.599976,501.000000,503.049988,454.789124,2171390
2016-01-28,505.000000,509.250000,495.899994,500.049988,452.076935,2091098
2016-01-29,500.000000,505.649994,492.950012,501.399994,453.297394,1583928
2016-02-01,504.950012,518.400024,496.149994,497.600006,449.861969,2717866
2016-02-02,496.000000,499.350006,472.100006,474.450012,428.932892,5733789
2016-02-03,471.000000,476.799988,465.500000,472.200012,426.898773,2019903
2016-02-04,478.899994,478.899994,465.100006,469.450012,424.412567,1465102
2016-02-05,471.899994,476.299988,468.100006,475.100006,429.520569,1196754
2016-02-08,471.500000,482.000000,468.200012,470.649994,425.497437,598666
2016-02-09,465.000000,467.850006,446.450012,448.250000,405.246399,2352111
2016-02-10,447.899994,447.899994,436.750000,440.399994,398.149536,2686031
2016-02-11,440.399994,443.100006,429.000000,431.950012,390.510223,1731120
2016-02-12,438.000000,439.149994,425.250000,430.000000,388.747284,1443312
2016-02-15,432.149994,439.100006,428.100006,430.299988,389.018524,1888109
2016-02-16,434.950012,436.399994,419.649994,422.850006,382.283264,979478
2016-02-17,422.350006,431.500000,415.149994,429.549988,388.340424,1169666
2016-02-18,434.950012,435.899994,422.899994,429.399994,388.204834,1262032
2016-02-19,428.600006,442.549988,426.549988,440.500000,398.239990,1644603
2016-02-22,440.549988,441.899994,426.549988,431.700012,390.284180,1155619
2016-02-23,431.700012,432.399994,424.000000,428.600006,387.481598,1074713
2016-02-24,425.000000,428.000000,418.350006,422.049988,381.559937,822293
2016-02-25,421.899994,423.799988,411.000000,416.299988,376.361603,2406282
2016-02-26,419.250000,424.950012,411.299988,417.750000,377.672455,1912583
2016-02-29,417.500000,424.000000,407.399994,415.549988,375.683563,1555018
2016-03-01,417.000000,435.000000,416.000000,432.250000,390.781403,1570024
2016-03-02,438.450012,460.750000,434.049988,455.549988,411.846100,2339747
2016-03-03,459.700012,464.000000,452.200012,461.750000,417.451324,2371409
2016-03-04,460.000000,462.000000,449.950012,451.250000,407.958618,2756908
2016-03-08,455.000000,459.549988,445.000000,448.850006,405.788849,2050957
2016-03-09,443.899994,467.500000,442.100006,464.149994,419.621033,4030260
2016-03-10,469.850006,473.200012,464.200012,466.149994,421.429199,3266594
2016-03-11,467.950012,470.000000,455.600006,458.049988,414.106201,1025718
2016-03-14,460.000000,472.299988,458.000000,470.200012,425.090637,5115313
2016-03-15,472.600006,475.250000,459.000000,460.299988,416.140411,996244
2016-03-16,457.000000,469.149994,456.500000,465.799988,421.112732,1223337
2016-03-17,471.000000,490.000000,471.000000,486.750000,440.052887,2474194
2016-03-18,488.000000,496.000000,483.149994,492.450012,445.206055,3064899
2016-03-21,492.450012,498.399994,486.000000,490.100006,443.081482,1653354
2016-03-22,490.100006,492.750000,480.200012,484.200012,437.747528,2064995
2016-03-23,484.000000,484.649994,474.649994,479.899994,433.860016,1458923
2016-03-28,482.000000,485.250000,464.000000,474.700012,429.158936,3609846
2016-03-29,475.100006,479.850006,464.000000,467.600006,422.740082,2044000
2016-03-30,471.000000,478.799988,465.750000,472.850006,427.486389,3203825
2016-03-31,475.000000,483.000000,473.200012,474.950012,429.384979,4630177
2016-04-01,476.000000,476.049988,460.000000,463.100006,418.671753,2394963
2016-04-04,468.000000,474.000000,466.200012,470.549988,425.407013,1708093
2016-04-05,472.500000,473.000000,460.100006,462.250000,417.903320,1430387
