Date,Open,High,Low,Close,Adj Close,Volume
2015-12-16,860.500000,866.000000,850.666992,853.932983,779.779541,3351052
2015-12-17,859.333008,866.466980,854.367004,864.132996,789.093872,3764286
2015-12-18,861.232971,872.400024,856.067017,858.267029,783.737244,3934995
2015-12-21,857.632996,865.132996,856.333008,860.200012,785.502441,1760169
2015-12-22,860.666992,864.599976,850.666992,853.466980,779.354065,2622499
2015-12-23,858.666992,866.000000,855.333008,860.666992,785.928711,2420179
2015-12-24,864.533020,867.666992,857.533020,863.000000,788.059204,2227447
2015-12-28,864.767029,866.799988,858.767029,863.432983,788.454712,2357763
2015-12-29,866.666992,867.333008,856.867004,859.700012,785.045776,2280091
2015-12-30,862.333008,865.333008,854.333008,855.666992,781.362976,1811727
2015-12-31,857.333008,857.700012,848.099976,850.299988,776.462097,2324868
2016-01-01,852.666992,860.666992,848.367004,859.466980,784.833008,1127733
2016-01-04,857.333008,859.966980,835.533020,837.299988,764.590942,2767263
2016-01-05,841.867004,846.000000,835.000000,837.932983,765.169006,2470134
2016-01-06,839.333008,839.867004,823.333008,824.567017,752.963745,2728635
2016-01-07,818.767029,818.900024,800.000000,804.267029,734.426514,4689760
2016-01-08,810.067017,811.267029,783.333008,786.067017,717.806885,5356012
2016-01-11,774.666992,789.932983,763.367004,782.232971,714.305847,4304283
2016-01-12,790.900024,800.000000,782.166992,786.099976,717.837036,4095195
2016-01-13,796.000000,796.000000,752.067017,771.166992,704.200806,5619939
2016-01-14,756.267029,770.000000,740.067017,756.432983,690.746216,5099718
2016-01-15,759.932983,761.000000,733.333008,738.599976,674.461792,3987867
2016-01-18,737.333008,740.000000,716.000000,722.367004,659.638489,4166632
2016-01-19,722.867004,755.000000,712.732971,748.632996,683.623535,4372536
2016-01-20,733.966980,748.333008,718.232971,744.067017,679.454102,5856754
2016-01-21,753.333008,758.400024,727.400024,735.132996,671.295959,3802062
2016-01-22,743.932983,763.333008,740.200012,761.466980,695.343079,3694869
2016-01-25,767.333008,771.900024,739.267029,742.767029,678.267029,2472816
2016-01-27,748.000000,748.000000,731.767029,738.533020,674.400635,2618145
2016-01-28,734.000000,735.666992,713.333008,716.333008,654.128479,5794726
2016-01-29,716.000000,739.333008,713.466980,734.432983,670.656738,4848987
2016-02-01,750.000000,772.632996,740.067017,748.033020,683.075745,7053951
2016-02-02,749.333008,763.333008,740.666992,747.932983,682.984375,4505643
2016-02-03,737.867004,746.666992,728.200012,739.200012,675.009705,3731595
2016-02-04,746.000000,766.567017,745.466980,757.132996,691.385498,5956549
2016-02-05,761.200012,768.000000,751.033020,759.932983,693.942383,4000879
2016-02-08,760.666992,771.900024,746.932983,753.533020,688.098145,2539246
2016-02-09,743.333008,751.966980,734.932983,742.799988,678.297058,2523124
2016-02-10,738.466980,753.333008,735.333008,747.067017,682.193542,3203877
2016-02-11,745.799988,750.166992,719.333008,728.267029,665.026245,4395021
2016-02-12,733.067017,735.000000,677.367004,702.432983,641.435486,6160240
2016-02-15,714.867004,769.799988,709.700012,766.267029,699.726318,5939226
2016-02-16,771.932983,771.932983,732.867004,736.000000,672.087585,3548740
2016-02-17,737.067017,755.799988,721.432983,748.299988,683.319519,3479412
2016-02-18,756.267029,783.299988,755.333008,766.432983,699.877930,5457168
2016-02-19,764.099976,779.267029,754.267029,767.000000,700.395691,3036894
2016-02-22,766.666992,778.833008,760.132996,766.500000,699.939087,2054481
2016-02-23,770.166992,770.666992,750.067017,753.432983,688.006714,2045679
2016-02-24,748.000000,753.333008,740.000000,741.932983,677.505432,1816150
2016-02-25,745.333008,746.666992,721.333008,724.299988,661.403564,2655282
2016-02-26,728.333008,745.000000,728.200012,740.432983,676.135681,2277972
2016-02-29,742.666992,749.000000,702.033020,717.333008,655.041626,5500993
2016-03-01,724.666992,752.666992,720.666992,749.299988,684.232666,3647113
2016-03-02,762.000000,767.267029,755.466980,758.599976,692.725037,3652203
2016-03-03,765.932983,807.466980,756.299988,804.732971,734.851990,5552958
2016-03-04,810.000000,815.966980,791.333008,795.466980,726.390625,3438969
2016-03-08,800.666992,808.000000,782.132996,791.632996,722.889587,3022782
2016-03-09,788.267029,813.333008,785.333008,808.567017,738.353088,3121141
2016-03-10,809.333008,814.333008,787.500000,790.767029,722.098816,2932767
2016-03-11,792.632996,801.333008,780.867004,790.432983,721.793762,2996377
2016-03-14,798.000000,804.432983,785.132996,789.466980,720.911682,2726301
2016-03-15,792.466980,798.567017,783.700012,787.166992,718.811462,2444158
2016-03-16,791.333008,794.466980,776.599976,788.799988,720.302612,2704711
2016-03-17,798.666992,803.333008,789.632996,795.500000,726.420776,3872653
2016-03-18,799.333008,802.000000,793.400024,799.533020,730.103638,2566830
2016-03-21,800.666992,821.700012,796.232971,818.767029,747.667358,3575446
2016-03-22,822.666992,830.000000,814.666992,824.867004,753.237610,2979816
2016-03-23,826.666992,832.666992,820.200012,828.367004,756.433655,2438136
2016-03-28,827.333008,830.799988,798.700012,804.232971,734.395508,3717456
2016-03-29,805.333008,810.700012,793.333008,795.966980,726.847168,2703178
2016-03-30,805.333008,821.267029,801.000000,818.700012,747.606201,2874000
2016-03-31,817.299988,820.000000,807.666992,811.132996,740.696228,4945963
2016-04-01,808.000000,832.200012,808.000000,825.267029,753.602905,2539944
2016-04-04,826.599976,833.333008,814.400024,823.900024,752.354553,1740162
2016-04-05,818.932983,823.166992,793.367004,796.767029,727.577820,3151113
2016-04-06,799.400024,810.000000,788.333008,807.900024,737.744019,2583834
2016-04-07,805.333008,806.632996,785.200012,788.599976,720.119995,2707579
2016-04-08,789.333008,798.000000,787.333008,794.833008,725.811707,1565038
2016-04-11,797.333008,810.599976,790.400024,808.900024,738.657166,2529934
2016-04-12,810.000000,823.267029,804.700012,814.932983,744.166199,2837052
2016-04-13,824.000000,835.333008,819.400024,823.267029,751.776611,4955905
2016-04-18,822.067017,837.966980,806.033020,835.333008,762.794739,2644515
2016-04-20,838.000000,845.299988,832.000000,843.966980,770.678894,2522848
2016-04-21,846.466980,850.000000,830.700012,834.632996,762.155579,1723543
2016-04-22,833.333008,846.000000,827.666992,843.400024,770.161255,2008374
2016-04-25,846.666992,851.732971,838.067017,843.666992,770.405090,2128689
2016-04-26,840.732971,855.632996,840.232971,854.000000,779.840698,1877685
2016-04-27,854.000000,859.166992,847.367004,850.966980,777.071228,1557685
2016-04-28,851.333008,855.267029,835.599976,839.700012,766.782593,2789970
2016-04-29,840.099976,844.067017,830.333008,836.400024,763.769165,1689373
2016-05-02,830.666992,837.333008,824.000000,833.833008,761.424988,1344315
2016-05-03,837.333008,855.432983,830.000000,834.267029,761.821411,2525149
2016-05-04,831.367004,838.599976,826.666992,831.200012,759.020691,1644345
2016-05-05,829.666992,855.000000,829.466980,849.232971,775.487732,2821255
2016-05-06,847.333008,848.267029,836.000000,840.299988,767.330444,1610382
2016-05-09,842.666992,864.599976,842.132996,863.033020,788.089417,2788513
2016-05-10,863.333008,881.799988,858.666992,880.033020,803.613159,3676146
2016-05-11,866.567017,889.333008,863.333008,885.166992,808.301208,4603557
2016-05-12,883.400024,893.267029,874.166992,877.400024,801.208801,1553274
2016-05-13,873.333008,876.666992,853.632996,857.666992,783.189331,2103742
2016-05-16,861.200012,864.000000,845.833008,855.500000,781.210571,2410951
2016-05-17,859.333008,872.666992,856.432983,860.732971,785.989075,2223565
2016-05-18,856.932983,874.799988,851.367004,873.232971,797.403625,2603508
2016-05-19,869.333008,872.000000,840.033020,844.067017,770.770386,2005083
2016-05-20,848.000000,853.132996,834.067017,836.732971,764.073181,1672558
2016-05-23,842.432983,843.900024,825.333008,827.466980,755.611816,2198760
2016-05-24,827.466980,832.400024,815.533020,828.099976,756.189819,1858491
2016-05-25,840.000000,865.767029,834.033020,861.067017,786.294128,3721570
2016-05-26,936.000000,989.932983,926.666992,982.767029,897.425964,20691907
2016-05-27,982.666992,991.567017,968.000000,983.267029,897.882629,5885740
2016-05-30,979.932983,997.632996,977.432983,991.400024,905.309387,3487939
2016-05-31,990.799988,991.400024,978.132996,982.367004,897.060730,3809605
2016-06-01,980.033020,989.432983,974.067017,976.700012,891.885864,2486295
2016-06-02,973.333008,988.466980,961.099976,984.833008,899.312561,3103587
2016-06-03,984.666992,990.632996,970.666992,973.732971,889.176453,2250340
2016-06-06,975.200012,982.232971,974.033020,978.799988,893.803528,1901931
2016-06-07,983.333008,1000.000000,974.200012,991.932983,905.796021,3348535
2016-06-08,996.799988,1009.799988,993.432983,1007.469971,919.983887,3325263
2016-06-09,1007.530029,1009.130005,991.400024,994.299988,907.957458,1813729
2016-06-10,988.200012,1003.330017,984.200012,991.799988,905.674622,2152996
2016-06-13,980.000000,982.599976,970.200012,977.432983,892.555176,2209357
2016-06-14,978.666992,982.166992,970.067017,973.700012,889.146362,1689316
2016-06-15,976.000000,1011.330017,975.666992,1009.200012,921.563538,2960616
2016-06-16,1006.000000,1006.000000,985.333008,996.132996,909.631348,2447025
2016-06-17,996.333008,1001.900024,981.932983,986.833008,901.138855,2653944
2016-06-20,975.599976,1006.669983,973.533020,1004.700012,917.454407,2975367
2016-06-21,1006.669983,1007.270020,993.666992,996.533020,909.996582,1195078
2016-06-22,997.333008,1002.000000,986.799988,994.367004,908.018616,1813926
2016-06-23,991.400024,1005.299988,982.267029,999.067017,912.310547,2053992
2016-06-24,965.666992,978.666992,934.000000,953.732971,870.913208,6840802
2016-06-27,952.632996,979.599976,952.000000,977.833008,892.920471,2560092
2016-06-28,979.132996,994.333008,978.666992,982.700012,897.364868,2342134
2016-06-29,990.799988,995.333008,984.833008,988.799988,902.935120,2000545
2016-06-30,992.132996,1003.270020,989.932983,997.666992,911.032166,3960568
2016-07-01,1003.200012,1030.000000,1000.469971,1028.430054,939.123779,3497923
2016-07-04,1033.329956,1051.329956,1032.229980,1045.400024,954.620117,2718052
2016-07-05,1044.199951,1054.670044,1034.670044,1050.729980,959.487183,2636760
2016-07-07,1050.670044,1054.630005,1033.770020,1036.329956,946.337708,2084571
2016-07-08,1036.630005,1037.430054,1014.700012,1021.770020,933.042053,1915600
2016-07-11,1038.670044,1047.469971,1036.369995,1039.869995,949.570313,1815517
2016-07-12,1045.199951,1047.829956,1031.300049,1045.329956,954.556091,2383048
2016-07-13,1045.400024,1046.530029,1028.729980,1034.270020,944.456665,2036055
2016-07-14,1039.300049,1047.300049,1028.670044,1042.969971,952.401123,1909636
2016-07-15,1044.069946,1063.329956,1038.099976,1057.229980,965.422852,2428458
2016-07-18,1058.670044,1069.099976,1043.329956,1049.599976,958.455383,1855422
2016-07-19,1048.000000,1055.670044,1041.069946,1048.530029,957.478333,1926168
2016-07-20,1048.670044,1057.329956,1045.699951,1047.229980,956.291138,1790911
2016-07-21,1050.000000,1050.000000,1034.670044,1038.369995,948.200562,1678212
2016-07-22,1040.069946,1051.930054,1035.030029,1049.329956,958.208801,1877206
2016-07-25,1048.000000,1059.199951,1042.000000,1057.270020,965.459351,2209774
2016-07-26,1059.000000,1065.329956,1054.069946,1061.800049,969.596008,1729183
2016-07-27,1064.199951,1076.670044,1057.770020,1068.099976,975.348816,2467012
2016-07-28,1069.329956,1071.069946,1040.930054,1051.500000,960.190430,2811580
2016-07-29,1060.000000,1062.300049,1033.329956,1039.229980,948.985718,4228011
2016-08-01,1039.369995,1057.329956,993.333008,995.799988,909.327209,9155449
2016-08-02,997.333008,1009.200012,993.500000,1002.229980,915.198853,2410914
2016-08-03,1005.330017,1011.429993,980.333008,985.732971,900.134399,2619658
2016-08-04,997.333008,997.333008,973.599976,979.432983,894.381470,2254336
2016-08-05,986.900024,1011.169983,985.333008,1008.130005,920.586487,2805628
2016-08-08,1013.330017,1016.429993,998.067017,1004.770020,917.518311,1403923
2016-08-09,1006.599976,1006.669983,991.599976,1000.630005,913.737793,1865400
2016-08-10,1000.900024,1002.669983,984.232971,988.799988,902.935120,1683261
2016-08-11,983.367004,986.000000,975.232971,983.132996,897.760254,2240371
2016-08-12,986.000000,1003.799988,985.666992,994.599976,908.231506,1659132
2016-08-16,995.966980,1008.429993,981.333008,1004.229980,917.025208,2610843
2016-08-17,1002.500000,1009.500000,994.000000,1001.669983,914.687500,1384653
2016-08-18,994.000000,999.132996,986.666992,988.067017,919.009827,1780732
2016-08-19,992.000000,998.000000,986.432983,996.232971,926.604980,1392250
2016-08-22,996.666992,1002.669983,986.000000,995.099976,925.551208,1837995
2016-08-23,995.099976,996.466980,975.466980,984.767029,915.940308,1273489
2016-08-24,983.333008,992.299988,976.700012,982.333008,913.676514,1230627
2016-08-25,984.067017,988.867004,967.000000,969.767029,901.988770,2616154
2016-08-26,970.000000,973.299988,946.932983,951.466980,884.967773,2788650
2016-08-29,954.666992,975.833008,946.132996,973.000000,904.995728,2094229
2016-08-30,978.666992,985.200012,971.900024,983.767029,915.010254,2598309
2016-08-31,983.333008,1011.969971,980.200012,1008.630005,938.135559,4152240
2016-09-01,1008.669983,1011.700012,1001.369995,1004.729980,934.508179,1905766
2016-09-02,1004.729980,1008.330017,991.200012,1003.369995,933.243225,1755505
2016-09-06,1008.130005,1016.169983,1002.099976,1010.929993,940.274780,1960860
2016-09-07,1015.130005,1027.630005,1006.669983,1012.169983,941.428101,2648263
2016-09-08,1017.030029,1030.630005,1014.099976,1026.329956,954.598511,1692184
2016-09-09,1026.670044,1027.400024,1006.669983,1011.799988,941.084045,2262933
2016-09-12,992.000000,994.400024,973.267029,975.466980,907.290344,1953571
2016-09-14,975.466980,988.000000,970.732971,983.533020,914.792664,1718754
2016-09-15,983.400024,984.700012,971.432983,980.166992,911.661804,1126282
2016-09-16,984.732971,999.333008,979.000000,982.132996,913.490417,2112271
2016-09-19,984.000000,993.333008,976.000000,986.533020,917.582947,942540
2016-09-20,985.333008,989.567017,979.033020,983.966980,915.196289,1097205
2016-09-21,986.666992,991.932983,977.533020,981.400024,912.808777,1337071
2016-09-22,993.333008,1002.669983,984.666992,999.966980,930.078003,1952950
2016-09-23,1003.330017,1011.669983,993.732971,998.000000,928.248535,3121780
2016-09-26,994.666992,1007.969971,974.400024,977.132996,908.839905,2122144
2016-09-27,980.033020,984.200012,954.299988,957.599976,890.672058,2819209
2016-09-28,961.333008,978.000000,958.966980,970.599976,902.763550,2393218
2016-09-29,974.400024,979.333008,946.966980,958.400024,891.416199,3040345
2016-09-30,956.666992,960.367004,941.000000,955.432983,888.656616,3497865
2016-10-03,958.700012,983.166992,956.799988,980.466980,911.940918,2181718
2016-10-04,984.533020,986.367004,962.232971,966.099976,898.577942,2289637
2016-10-05,973.333008,974.599976,960.767029,969.299988,901.554382,2059848
2016-10-06,976.000000,978.299988,964.000000,969.666992,901.895691,1627375
2016-10-07,968.666992,973.267029,960.666992,971.299988,903.414612,1098751
2016-10-10,973.966980,976.932983,964.700012,966.666992,899.105408,875911
2016-10-13,959.267029,965.000000,954.200012,958.932983,891.911926,2659995
2016-10-14,962.666992,984.932983,959.067017,983.232971,914.513550,2632323
2016-10-17,983.267029,984.666992,960.666992,965.299988,897.833984,2140920
2016-10-18,971.799988,994.599976,967.367004,992.166992,922.823181,1983013
2016-10-19,992.166992,1000.669983,984.033020,994.033020,924.558777,2146896
2016-10-20,997.333008,1005.000000,988.367004,1002.429993,932.368958,1502340
2016-10-21,1002.669983,1009.400024,995.400024,1007.229980,936.833435,1670799
2016-10-24,1011.099976,1013.330017,991.200012,995.099976,925.551208,1517035
2016-10-25,996.666992,999.567017,985.799988,989.400024,920.249573,838206
2016-10-26,986.466980,992.666992,980.367004,988.200012,919.133484,867619
2016-10-27,986.500000,988.599976,971.400024,983.533020,914.792664,2440678
2016-10-28,980.666992,989.932983,975.333008,987.132996,918.141052,1212981
2016-11-01,987.333008,987.367004,973.333008,975.432983,907.258667,947158
2016-11-02,965.200012,970.000000,957.666992,965.767029,898.268311,1493443
2016-11-03,961.432983,977.767029,961.333008,962.799988,895.508728,1411942
2016-11-04,951.267029,956.267029,931.267029,946.533020,880.378601,18639006
2016-11-07,950.000000,954.466980,928.232971,932.000000,866.861328,2158653
2016-11-08,937.000000,937.333008,922.666992,931.466980,866.365479,1881726
2016-11-09,880.000000,939.400024,863.400024,926.966980,862.180054,4757398
2016-11-10,933.700012,951.333008,933.700012,941.400024,875.604370,2766432
2016-11-11,931.267029,939.333008,924.000000,925.867004,861.156982,2518285
2016-11-15,919.333008,938.333008,908.833008,913.533020,849.685059,3958053
2016-11-16,924.867004,925.533020,900.666992,917.033020,852.940369,3299710
2016-11-17,918.799988,922.666992,906.666992,914.000000,850.119446,1377642
2016-11-18,914.666992,921.567017,907.333008,913.632996,849.777954,1654947
2016-11-21,919.132996,919.132996,893.333008,898.599976,835.795715,1962840
2016-11-22,905.500000,906.666992,869.666992,886.367004,824.417725,3084870
2016-11-23,904.666992,923.333008,898.666992,904.833008,841.593079,7493139
2016-11-24,902.599976,910.599976,893.333008,899.767029,836.881042,4315369
2016-11-25,905.200012,916.799988,890.932983,913.799988,849.933350,3065824
2016-11-28,913.632996,914.799988,900.000000,904.632996,841.406982,1777818
2016-11-29,904.666992,913.132996,899.367004,901.632996,838.616699,1741327
2016-11-30,910.000000,927.500000,900.000000,921.833008,857.404907,4335631
2016-12-01,924.267029,935.000000,915.200012,925.567017,860.877930,2151997
2016-12-02,918.666992,919.732971,906.000000,907.900024,844.445679,1217827
2016-12-05,906.799988,909.867004,899.400024,904.099976,840.911255,1062822
2016-12-06,905.432983,916.000000,905.200012,908.099976,844.631714,1771909
2016-12-07,912.000000,916.732971,900.000000,902.533020,839.453857,1557765
2016-12-08,910.099976,917.166992,907.867004,911.299988,847.608093,1388842
2016-12-09,915.267029,915.533020,904.666992,908.132996,844.662415,1211254
2016-12-12,906.666992,916.599976,904.067017,909.966980,846.368286,1636279
2016-12-13,910.666992,919.267029,910.132996,917.132996,853.033447,2168125
2016-12-14,921.267029,921.267029,904.732971,906.632996,843.267273,1360938
2016-12-15,899.833008,911.400024,899.333008,904.567017,841.345642,900523
2016-12-16,904.200012,909.666992,901.367004,907.067017,843.670959,1577425
2016-12-19,905.000000,906.000000,894.367004,896.632996,833.966187,1148169
2016-12-20,896.666992,907.466980,896.099976,903.666992,840.508545,1177779
2016-12-21,905.466980,907.033020,893.333008,894.666992,832.137573,950224
2016-12-22,893.833008,896.000000,874.700012,876.432983,815.177979,1357563
2016-12-23,877.166992,894.666992,868.333008,891.632996,829.315613,2136648
2016-12-26,890.400024,896.666992,878.900024,891.732971,829.408630,1198728
2016-12-27,893.333008,906.333008,886.067017,903.732971,840.569946,1222356
2016-12-28,904.666992,908.833008,897.333008,899.966980,837.067139,1294264
2016-12-29,894.367004,902.666992,886.932983,892.799988,830.401062,2010627
2016-12-30,896.666992,903.666992,896.000000,899.400024,836.539856,1280979
2017-01-02,904.033020,912.666992,899.432983,906.400024,843.050476,1476811
2017-01-03,906.666992,916.666992,901.466980,911.466980,847.763428,1363398
2017-01-04,916.666992,920.900024,913.666992,917.732971,853.591370,2144739
2017-01-05,921.500000,930.000000,918.666992,928.200012,863.326965,2781498
2017-01-06,930.000000,935.799988,925.067017,927.299988,862.489868,1462912
2017-01-09,928.000000,931.966980,917.799988,920.432983,856.102783,819484
2017-01-10,920.166992,930.000000,918.367004,925.000000,860.350586,1359729
2017-01-11,932.000000,945.232971,930.000000,941.567017,875.759766,1514451
2017-01-12,943.267029,969.533020,942.666992,966.232971,898.701721,2707455
2017-01-13,973.333008,973.333008,954.799988,959.166992,892.129517,1400770
2017-01-16,956.666992,966.666992,954.867004,961.867004,894.640930,1052802
2017-01-17,960.000000,973.299988,960.000000,963.833008,896.469543,1423840
2017-01-18,964.000000,979.333008,964.000000,968.299988,900.624329,1538178
2017-01-19,968.666992,975.333008,963.367004,966.299988,898.764099,1019914
2017-01-20,966.299988,969.267029,940.666992,943.166992,877.247864,2177485
2017-01-23,941.333008,942.000000,921.267029,929.033020,864.101746,3534069
2017-01-24,932.166992,949.333008,932.000000,946.533020,880.378601,1879687
2017-01-25,949.867004,969.333008,946.932983,966.500000,898.950073,2294773
2017-01-27,967.367004,980.166992,955.567017,959.932983,892.842041,1871125
2017-01-30,962.000000,978.000000,958.666992,961.867004,894.640930,2601585
2017-01-31,960.000000,970.000000,951.333008,964.166992,896.780090,1894153
2017-02-01,965.299988,996.567017,964.200012,993.500000,924.063049,3577633
2017-02-02,994.400024,996.000000,980.200012,984.333008,915.536682,2257914
2017-02-03,984.333008,992.000000,971.333008,987.132996,918.141052,1650459
2017-02-06,990.000000,1000.000000,986.267029,989.200012,920.063660,1526715
2017-02-07,986.799988,1003.200012,981.432983,1000.200012,930.294678,2499546
2017-02-08,1003.200012,1007.330017,992.833008,1004.570007,934.359375,1689792
2017-02-09,1005.330017,1007.229980,984.267029,993.799988,924.342041,1529256
2017-02-10,996.833008,1005.429993,994.833008,1001.299988,931.317871,1300986
2017-02-13,1003.700012,1006.000000,987.700012,1000.099976,930.201721,930046
2017-02-14,1003.330017,1004.630005,990.666992,995.067017,925.520508,926545
2017-02-15,995.132996,1003.799988,984.099976,986.666992,917.707581,1952469
2017-02-16,989.267029,990.000000,974.033020,980.166992,911.661804,2071947
2017-02-17,980.700012,990.000000,976.666992,985.333008,916.466797,1028691
2017-02-20,988.567017,994.666992,983.367004,988.432983,919.350159,1105371
2017-02-21,984.000000,993.400024,984.000000,988.867004,919.753845,970615
2017-02-22,988.666992,992.500000,981.867004,984.632996,915.815735,1291317
2017-02-23,986.666992,1004.000000,978.799988,991.067017,921.800110,2175397
2017-02-27,996.466980,1000.000000,973.400024,977.232971,908.932922,1553899
2017-02-28,981.333008,991.966980,977.432983,979.466980,911.010742,1773558
2017-03-01,981.333008,989.900024,980.767029,984.099976,915.319885,1219411
2017-03-02,988.033020,996.900024,980.000000,982.632996,913.955505,1920216
2017-03-03,980.900024,985.567017,973.333008,980.232971,911.723267,1205019
2017-03-06,978.666992,992.666992,978.666992,990.400024,921.179688,821986
2017-03-07,989.333008,994.367004,986.299988,990.932983,921.675415,991566
2017-03-08,989.599976,996.333008,979.232971,984.200012,915.413025,1424362
2017-03-09,981.932983,988.533020,976.666992,984.599976,915.784973,1111050
2017-03-10,987.267029,998.333008,986.700012,994.400024,924.900085,1836264
2017-03-14,1011.330017,1045.800049,1011.330017,1038.729980,966.131775,7224810
2017-03-15,1038.000000,1040.000000,1026.800049,1032.599976,960.430298,2408866
2017-03-16,1039.329956,1050.000000,1038.670044,1047.369995,974.168030,2396146
2017-03-17,1047.369995,1048.599976,1029.430054,1035.030029,962.690491,1927983
2017-03-20,1036.000000,1036.930054,1023.500000,1025.099976,953.454468,1442107
2017-03-21,1033.329956,1043.069946,1028.670044,1032.699951,960.523254,2415213
2017-03-22,1025.229980,1034.500000,1016.929993,1019.900024,948.617920,3371401
2017-03-23,1024.670044,1038.930054,1012.700012,1029.270020,957.333008,2511771
2017-03-24,1032.000000,1038.670044,1027.670044,1034.130005,961.853333,1347655
2017-03-27,1033.270020,1036.670044,1025.329956,1029.270020,957.333008,1583550
2017-03-28,1032.000000,1038.530029,1027.400024,1029.500000,957.546936,2628958
2017-03-29,1036.000000,1045.069946,1033.329956,1037.699951,965.173889,2280357
2017-03-30,1042.000000,1046.670044,1034.829956,1038.300049,965.731995,2288326
2017-03-31,1034.729980,1062.430054,1034.729980,1049.930054,976.549133,3543100
2017-04-03,1054.599976,1110.670044,1051.069946,1107.329956,1029.937256,6576885
2017-04-05,1107.329956,1133.300049,1098.569946,1130.969971,1051.925049,5179798
2017-04-06,1123.329956,1134.900024,1112.670044,1122.130005,1043.702881,2740816
2017-04-07,1116.670044,1146.630005,1114.069946,1123.670044,1045.135376,4096639
2017-04-10,1125.329956,1139.400024,1108.670044,1116.030029,1038.029297,2406430
2017-04-11,1116.030029,1139.329956,1114.000000,1136.599976,1057.161621,1974126
2017-04-12,1130.000000,1141.000000,1117.530029,1135.199951,1055.859253,2135064
2017-04-13,1129.670044,1129.670044,1114.969971,1119.030029,1040.819580,1975483
2017-04-17,1120.000000,1126.400024,1113.930054,1120.900024,1042.558960,1135260
2017-04-18,1122.670044,1132.630005,1108.800049,1113.000000,1035.210938,1839489
2017-04-19,1113.329956,1116.670044,1107.900024,1113.699951,1035.861938,1158162
2017-04-20,1115.930054,1124.400024,1108.800049,1120.800049,1042.465942,1044189
2017-04-21,1130.000000,1134.469971,1120.000000,1125.000000,1046.372437,2415931
2017-04-24,1128.670044,1157.599976,1127.329956,1155.130005,1074.396484,3238530
2017-04-25,1160.000000,1166.670044,1157.329956,1164.069946,1082.711670,2879794
2017-04-26,1164.000000,1176.000000,1160.000000,1167.530029,1085.929810,2885722
