Date,Open,High,Low,Close,Adj Close,Volume
2015-10-12,6417.000000,6430.049805,6230.000000,6256.100098,5768.850586,24060
2015-10-13,6267.000000,6317.600098,6105.149902,6151.950195,5672.812500,46265
2015-10-14,6199.000000,6248.000000,6111.000000,6210.649902,5726.939453,15619
2015-10-15,6195.000000,6258.950195,6150.500000,6206.500000,5723.113281,24109
2015-10-16,6250.000000,6669.950195,6170.000000,6555.000000,6044.471680,317373
2015-10-19,6598.000000,6614.399902,6452.250000,6493.000000,5987.300293,71912
2015-10-20,6598.399902,6648.500000,6510.500000,6536.500000,6027.411133,73153
2015-10-21,6545.000000,6629.000000,6440.100098,6463.299805,5959.913574,59955
2015-10-23,6550.000000,6550.000000,6311.200195,6328.649902,5835.750000,39067
2015-10-26,6358.000000,6420.000000,6280.000000,6316.299805,5824.362793,33416
2015-10-27,6399.000000,6410.000000,6345.000000,6354.500000,5859.586426,33326
2015-10-28,6370.000000,6380.049805,6300.000000,6337.399902,5843.818359,29844
2015-10-29,6337.500000,6370.000000,6251.950195,6290.500000,5800.572754,47775
2015-10-30,6230.000000,6262.000000,6150.000000,6173.899902,5693.053223,51020
2015-11-02,6160.000000,6319.000000,6150.000000,6276.049805,5787.246094,29690
2015-11-03,6299.000000,6320.000000,6205.149902,6217.750000,5733.487793,28500
2015-11-04,6250.000000,6474.000000,6219.750000,6251.149902,5764.285645,157371
2015-11-05,6260.000000,6299.000000,6150.000000,6165.649902,5685.444336,38309
2015-11-06,6199.000000,6234.950195,6151.000000,6168.950195,5688.487793,16050
2015-11-09,6125.000000,6199.950195,6099.000000,6111.399902,5635.419922,51683
2015-11-10,6190.000000,6190.000000,6050.000000,6072.299805,5599.365234,32828
2015-11-13,6154.799805,6186.000000,6014.000000,6034.200195,5564.233887,115791
2015-11-16,6050.000000,6070.000000,5962.500000,5986.450195,5520.202148,110197
2015-11-17,6005.000000,6137.850098,5951.000000,6084.600098,5610.707520,67571
2015-11-18,6105.000000,6134.899902,6068.000000,6082.299805,5608.586426,27800
2015-11-19,6109.000000,6323.000000,6085.049805,6280.149902,5791.028809,61148
2015-11-20,6268.000000,6279.000000,6180.000000,6196.250000,5713.661621,19934
2015-11-23,6199.000000,6226.000000,6110.000000,6141.600098,5663.268555,28203
2015-11-24,6162.500000,6162.500000,6050.000000,6056.350098,5584.657715,33023
2015-11-26,6073.899902,6140.000000,6006.000000,6023.549805,5554.412109,72189
2015-11-27,6021.000000,6043.250000,5905.549805,5949.000000,5485.669922,113708
2015-11-30,5900.000000,5964.149902,5850.000000,5860.049805,5403.647461,142381
2015-12-01,5858.899902,5950.000000,5858.899902,5879.149902,5421.259766,50000
